Varenr;Varenavn;Utpris ink.mva;Kjøpspris;Kjøpslistepris;Saldo;Varegr.1;Varegr.2;Varegr.3;Pakningsantall;Posteringsgruppe;Sist oppdatert;Leverandør;Lev. varenr;Saldo;Bruk frg/str
696586;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;2,00;2;3;14;0;4;05.03.15 13:16:20;3;3312-14;2,00;True
561119;Norrøna  falketind dri3 Jacket (W);3299,00;1649,500;1649,50;0,000;2;8;14;0;4;30.01.15 20:27:21;3;3302-11;0,000;True
741611;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;0,000;2;3;14;0;4;05.03.15 13:16:07;3;3312-14;0,000;True
696582;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;3,000;2;3;14;0;4;01.04.15 13:50:51;3;3312-14;3,000;True
807566;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;2,00;2;3;14;0;4;05.03.15 13:17:08;3;3312-14;2,00;True
807565;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;1,000;2;3;14;0;4;05.03.15 13:17:23;3;3312-14;1,000;True
696590;Norrøna  falketind Gore-Tex Pants(W);3299,00;1499,500;1499,50;1,00;2;3;3;0;4;05.03.15 14:08:28;3;3313-14;1,00;True
807605;Norrøna  falketind Windstopper hybrid P;1999,00;949,500;949,50;2,000;2;3;14;0;4;01.04.15 13:50:51;3;3415-15;2,000;True
561123;Norrøna  falketind dri3 Pants (W);2299,00;1149,500;1149,50;2,00;2;8;3;0;4;30.01.15 21:17:51;3;3303-11;2,00;True
807567;Norrøna  falketind Gore-Tex Pants (W);3299,00;1499,500;1499,50;3,000;2;3;3;0;4;05.03.15 14:06:53;3;3313-14;3,000;True
696589;Norrøna  falketind Gore-Tex Pants (W);3299,00;1499,500;1499,50;5,000;2;3;3;0;4;06.03.15 15:37:13;3;3313-14;5,000;True
807610;Norrøna  falketind Windstopper hybrid J;2799,00;1299,500;1299,50;2,000;2;3;14;0;4;05.03.15 14:34:44;3;3416-15;2,000;True
807613;Norrøna  falketind Windstopper hybrid P;1999,00;949,500;949,50;1,000;2;3;14;0;4;05.03.15 14:37:29;3;3417-15;1,000;True
807587;Norrøna  falketind PrimaLoft100 Hood Ja;2499,00;1199,500;1199,50;1,000;2;3;14;0;4;05.03.15 14:53:41;3;3346-15;1,000;True
807590;Norrøna  falketind PrimaLoft100 Hood Ja;2499,00;1199,500;1199,50;0,000;2;3;14;0;4;05.03.15 14:54:04;3;3346-15;0,000;True
196172;Helsport  Stegg 45L olive;1350,00;607,500;675,00;2,00;3;10;27;0;4;20.02.15 14:05:22;7;632-512;2,00;True
807589;Norrøna  falketind PrimaLoft100 Hood Ja;2499,00;1019,575;1199,50;1,000;2;3;14;0;4;05.03.15 14:54:13;3;3346-15;1,000;True
807581;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;1,000;2;8;14;0;4;30.01.15 20:38:49;3;3342-14;1,000;True
807580;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;1,000;2;8;14;0;4;30.01.15 21:22:51;3;3342-14;1,000;True
741625;Norrøna  falketind PrimaLoft60 Jacket (W);1999,00;999,500;999,50;1,000;2;8;14;0;4;30.01.15 21:22:26;3;3342-14;1,000;True
560993;Norrøna  hjerkinn Pack 40L;1299,00;649,500;649,50;3,00;3;10;28;0;4;11.01.15 15:59:01;3;0812-00;3,00;True
516564;Norrøna  lyngen lw down750 Jkt (W);2999,00;1499,500;1499,50;0,000;2;8;14;0;4;30.01.15 20:59:03;3;3176-12;0,000;True
561143;Norrøna  svalbard flex1 Pants(M);1499,00;749,500;749,50;0,000;2;3;11;0;4;30.01.15 21:25:44;3;4017-13;0,000;True
561142;Norrøna  svalbard flex1 Pants(M);1499,00;749,500;749,50;0,000;2;3;11;0;4;30.01.15 20:43:05;3;4017-13;0,000;True
551042;Scarpa  Mustang GTX Wmn;2499,00;1250,000;1250,00;7,000;5;9;29;0;4;20.02.15 14:04:11;9;67048W;7,000;True
516394;Norrøna  falketind warm1 Jacket (W);1199,00;549,500;549,50;0,000;2;13;30;0;4;05.03.15 14:30:09;3;0940-11;0,000;True
561018;Norrøna  /29 warm1 Zip Hood (W);1199,00;599,500;599,50;0,000;2;13;31;0;4;30.01.15 20:23:06;3;1034-13;0,000;True
696606;Norrøna  falketind warm1 Jacket (W);1199,00;549,500;549,50;2,000;2;3;32;0;4;05.03.15 14:31:01;3;3332-14;2,000;True
807572;Norrøna  falketind warm1 Jacket (W);1199,00;549,500;549,50;0,000;2;3;32;0;4;05.03.15 14:31:31;3;3332-14;0,000;True
807573;Norrøna  falketind warm1 Jacket (W);1199,00;549,500;549,50;0,000;2;3;32;0;4;05.03.15 14:31:11;3;3332-14;0,000;True
696603;Norrøna  falketind warm1 Jacket (W);1199,00;549,500;549,50;-1,000;2;3;32;0;4;05.03.15 14:31:42;3;3332-14;-1,000;True
741734;Norrøna  falketind Primaloft Jacket (Jr;1499,00;699,500;699,50;4,00;2;3;33;0;4;05.03.15 14:48:41;3;8540-14;4,00;True
741736;Norrøna  falketind Primaloft Jacket (Jr;1499,00;430,000;699,50;3,000;2;3;33;0;4;18.03.15 12:53:30;3;8540-14;3,000;True
741725;Norrøna  falketind Gore-Tex Jacket (Jr);2899,00;1349,500;1349,50;3,00;2;3;33;0;4;05.03.15 13:05:02;3;8500-14;3,00;True
741727;Norrøna  falketind Gore-Tex Jacket (Jr);2899,00;1349,500;1349,50;1,000;2;3;33;0;4;05.03.15 13:05:39;3;8500-14;1,000;True
741728;Norrøna  falketind Gore-Tex Pants (Jr);2199,00;999,500;999,50;5,00;2;3;17;0;4;05.03.15 14:03:29;3;8501-14;5,00;True
807785;Scarpa  Mythos Pro GTX Wmn;2999,00;1500,000;1500,00;3,00;5;9;29;0;4;11.01.15 16:22:26;9;61100;3,00;True
741729;Norrøna  falketind Gore-Tex Pants(Jr);2199,00;999,500;999,50;1,00;2;3;17;0;4;05.03.15 14:07:52;3;8501-14;1,00;True
551043;Scarpa  Mustang GTX Wmn;2499,00;1250,000;1250,00;1,00;5;9;29;0;4;11.01.15 16:22:27;9;S1367048S;1,00;True
741743;Norrøna  svalbard flex1 Pants (Jr);999,00;499,500;499,50;1,000;2;3;17;0;4;30.01.15 21:26:08;3;8815-14;1,000;True
741731;Norrøna  falketind warm1 Jacket (Jr);749,00;349,500;349,50;4,000;2;3;33;0;4;05.03.15 14:12:58;3;8530-14;4,000;True
741732;Norrøna  falketind warm1 Jacket (Jr);749,00;215,000;349,50;5,000;2;3;33;0;4;18.03.15 12:53:30;3;8530-14;5,000;True
135433;Crispi  Skarven Lady;3099,00;1196,000;1550,00;3,000;5;9;29;0;4;22.04.15 13:33:46;17;3020457;3,000;True
593347;Norrøna  trollveggen Gore-Tex Pro Jacket (M);5999,00;2999,500;2999,50;2,000;2;8;16;0;4;30.01.15 20:43:47;3;3000-13;2,000;True
696575;Norrøna  falketind Gore-Tex Jacket (M);3999,00;1899,500;1899,50;1,000;2;3;16;0;4;05.03.15 14:59:31;3;3310-14;1,000;True
696574;Norrøna  falketind Gore-Tex Jacket (M);3999,00;1899,500;1899,50;3,000;2;3;16;0;4;05.03.15 13:14:16;3;3310-14;3,000;True
696577;Norrøna  falketind Gore-Tex Jacket (M);3999,00;1899,500;1899,50;3,000;2;3;16;0;4;05.03.15 13:14:44;3;3310-14;3,000;True
561181;Norrøna  bitihorn Gore-Tex Active Jkt M;3799,00;1899,500;1899,50;0,000;2;3;16;0;4;30.01.15 20:44:29;3;4300-12;0,000;True
135432;Crispi  Skarven;3099,00;1196,000;1550,00;4,000;5;9;13;0;4;22.04.15 13:33:46;17;3020441;4,000;True
551036;Scarpa  Kinesis Pro GTX;2999,00;1500,000;1500,00;5,00;5;9;13;0;4;11.01.15 16:22:27;9;61000;5,00;True
679081;Scarpa  Zen Lite Gtx Wmn;1999,00;1000,000;1000,00;-1,000;5;14;34;0;4;11.01.15 16:22:27;9;72534W;-1,000;True
135708;Scarpa  Mojito Lady;1499,00;750,000;750,00;1,000;5;9;35;0;4;11.01.15 16:22:27;9;32605C;1,000;True
551034;Scarpa  Daylite GTX;1999,00;1000,000;1000,00;0,000;5;9;36;0;4;11.01.15 16:22:27;9;S1360270Q;0,000;True
679069;Scarpa  Rebel Lite Gtx Wmn;3499,00;1750,000;1750,00;0,000;5;9;29;0;4;11.01.15 16:22:27;9;71005W;0,000;True
679053;Scarpa  Mojito;1499,00;750,000;750,00;2,000;5;14;37;0;4;11.01.15 16:22:27;9;32605;2,000;True
807603;Norrøna  falketind Windstopper hybrid J;2799,00;1299,500;1299,50;2,000;2;3;14;0;4;05.03.15 14:34:23;3;3414-15;2,000;True
679046;Scarpa  Mojito;1499,00;750,000;750,00;1,000;5;14;37;0;4;19.02.15 12:38:00;9;32605;1,000;True
807601;Norrøna  falketind Windstopper hybrid J;2799,00;1299,500;1299,50;2,000;2;3;14;0;4;01.04.15 13:50:51;3;3414-15;2,000;True
696619;Norrøna  falketind PrimaLoft60 Jkt (M);1999,00;999,500;999,50;2,00;2;8;16;0;4;30.01.15 21:23:59;3;3340-14;2,00;True
741622;Norrøna  falketind PrimaLoft60 Jacket (M);1999,00;999,500;999,50;0,000;2;8;16;0;4;30.01.15 21:15:26;3;3340-14;0,000;True
328766;Kamik  Alborg;999,00;454,000;454,00;3,00;5;9;38;0;4;11.01.15 16:22:27;18;22-231;3,00;True
594761;Kamik  Snowbank 2 G barn;999,00;454,000;454,00;1,00;5;9;38;0;4;11.01.15 16:22:27;19;NK8639;1,00;True
594693;Kamik  Snowbank 2 G jr;999,00;454,000;454,00;2,00;5;9;38;0;4;11.01.15 16:22:27;19;NK4639;2,00;True
594737;Kamik  Snowbank G barn;799,00;363,000;363,00;3,00;5;9;38;0;4;11.01.15 16:22:27;19;NK8457;3,00;True
594677;Kamik  Snowbank G jr;799,00;363,000;363,00;3,000;5;9;38;0;4;11.01.15 16:22:27;19;NK4457;3,000;True
136319;Kamik  Alborg W;999,00;454,000;454,00;0;5;9;35;0;4;11.01.15 12:02:14;18;22-230;0;True
742669;Kamik  Keystoneg;1999,00;909,000;909,00;0;5;15;39;0;4;11.01.15 12:02:28;19;WK0042;0;True
594623;Kamik  Baltoro 2;999,00;454,000;454,00;0;5;9;38;0;4;11.01.15 12:02:35;19;NK0076;0;True
328854;Kamik  Oslo Wp;1699,00;694,800;772,00;1,000;5;9;38;0;4;27.01.15 11:53:29;18;22-42;1,000;True
594637;Kamik  Oslo WP;1699,00;772,000;772,00;0;5;9;38;0;4;11.01.15 12:02:49;19;NK2321;0;True
148708;Nokian  "Finntrim ""Forsterket Trimmi"" ";849,00;425,000;425,00;0;5;9;40;0;4;11.01.15 12:03:53;1;NK0408;0;True
166217;Nokian  Finnjagd M/SnøRing Bak;999,00;500,000;500,00;0;5;9;40;0;4;11.01.15 12:04:08;1;NK0440;0;True
478969;Norsk Ullsåle  Utmark;119,00;34,000;34,00;8,00;5;16;41;0;4;22.02.15 14:13:02;0;101;8,00;True
478970;Norsk Ullsåle  Innmark;100,00;34,000;34,00;5,000;5;16;41;0;4;12.03.15 14:45:11;59;104;5,000;True
148740;Pedag  SåLe 186 Maste R;138,00;69,000;69,00;7,00;5;16;41;0;4;22.02.15 14:13:02;1;PG1860;7,00;True
684505;Devold  BREEZE MAN T-SHIRT;449,00;224,000;224,00;0,000;2;17;42;0;4;30.01.15 07:42:47;20;180-213;0,000;True
158547;Pedag  SåLe 115 Boots;50,00;25,000;25,00;0;5;16;41;0;4;11.01.15 12:08:58;1;PG1150;0;True
